Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
202152,Airplane,LAGUARDIA NY,> 1000 ft,B-737-400,Over 100,859,Engine Shut Down,2000-11-23,Caused damage,2,US AIRWAYS*,New York,Climb,,False,False,"FLT 753. PILOT REPTD A HUNDRED BIRDS ON UNKN TYPE. #1 ENG WAS SHUT DOWN AND DIVERTED TO EWR. SLIGHT VIBRATION. A/C WAS OUT OF SVC FOR REPAIRS TO COWLING, FAN DUCT ACCOUSTIC PANEL. INGESTION. DENTED FAN BLADE #26 IN #1 ENG. HEAVY BLOOD STAINS ON L WINGTIP",Medium,No Cloud,Unknown bird - medium,N,30736,1500.0,0,Yes
215953,Airplane,SEATTLE-TACOMA INTL,< 1000 ft,B-737-400,Over 100,806,Precautionary Landing,2002-09-05,No damage,2,ALASKA AIRLINES,Washington,Climb,,True,False,"NOTAM WARNING. 26 BIRDS HIT THE A/C, FORCING AN EMERGENCY LDG. 77 BIRDS WERE FOUND DEAD ON RWY/TWY WITH GRASSHOPPERS IN THEIR STOMACHS. SAFETY AREAS COULD NOT BE THOROUGHLY INSPCTD DURING 14 MINUTE SHUTDOWN OF RWY 34L. NO DMG. A/C OUT OF SVC 40 MINS. PHOT",Small,Some Cloud,European starling,Y,0,50.0,0,Yes
236635,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-320,Over 100,320,Other,2006-03-01,Caused damage,2,UNITED AIRLINES,DC,Approach,,True,False,"WS ASSISTED IN CLEAN-UP OF 273 STARLINGS AND 1 BROWN-HEADED COWBIRD FROM RWY THRESHOLD. PHOTOS OF A/C TAKEN. BORESCOPED BOTH ENGS. FOUND DENTS AND NICKS IN STAGES 3-6. ALL WITHIN LIMITS. CLEANED RADOME, L WING, FLAPS, PYLON, GEAR AND LEADING EDGE FLAPS. R",Small,Some Cloud,European starling,Y,1483141,100.0,0,No
202454,Airplane,WASHINGTON DULLES INTL ARPT,> 1000 ft,B-737-200,2 to 10,7,Precautionary Landing,2000-02-29,No damage,2,DELTA AIR LINES,DC,Climb,,False,False,FLT 2307 INGESTED A BIRD. SMELL OF BURNING IN COCKPIT.BIRD ID BY  WS BIOL.  ONE REPT SAYS BIRD WAS STUCK IN THE FLAP. A/C LEFT 2  HRS LATER AFTER INSPN.,Medium,No Cloud,Ring-billed gull,Y,0,1500.0,0,Yes
202138,Airplane,ROCHESTER INTL,< 1000 ft,FOKKER F28 MK 1000,2 to 10,4,Precautionary Landing,2000-03-06,No damage,2,AMERICAN AIRLINES,Minnesota,Climb,,False,False,FLT 1788. ABOUT 20-30 BIRDS CROSSED FLT PATH JUST AFTER ROTATION  PRIOR TO GEAR RETRACT. NOTIFIED TWR OF INTENTION TO RET TO RST.  NO PROBLEMS OR DMG INDICATED. A LOUD HTUMP WAS HEARD OVERHEAD ON  FUSELAGE. POST FLT FOUND REMAINS ON UPPER FUSELAGE AFT OF,Small,No Cloud,Unknown bird - small,N,0,200.0,0,No
203936,Airplane,ORLANDO INTL,< 1000 ft,SAAB-340,2 to 10,9,Aborted Take-off,2000-03-18,No damage,2,AMERICAN EAGLE AIRLINES,Florida,Take-off run,,False,False,"(BIRD REPTD AS GULL, ASSUME RING-BILLED BASED ON ARPT REPT)",Medium,Some Cloud,Ring-billed gull,Y,0,0.0,0,No
200130,Airplane,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,DC-9-10,2 to 10,5,Engine Shut Down,2000-03-23,Caused damage,2,NORTHWEST AIRLINES,Minnesota,Climb,,False,False,"FLT 1493 STATED HE FLEW THRU A FLOCK OF ABOUT 50 TRUMPETER SWANS. OCCURRED OVER ARPT PROPERTY. ENG REPLACED. INGESTION. PREC. LDG. BENT BLADES, TEMP INCREASED. HIT INLET FIRST. RETD TO LAND",Large,Overcast,Tundra swan,Y,35146,800.0,0,No
200681,Airplane,TOLEDO EXPRESS ARPT,< 1000 ft,CL-RJ100/200,2 to 10,3,Other,2000-04-13,Caused damage,2,COMAIR AIRLINES,Ohio,Landing Roll,,False,False,DMGD FLAP CAUSED DEPTR TO BE CANCELLED. POSSIBLE ENG DMG. FLAP AND RIVET BENT.,Large,Some Cloud,Canada goose,N,10691,0.0,0,No
200155,Airplane,BEVERLY MUNICIPAL ARPT,< 1000 ft,C-560,2 to 10,8,Aborted Take-off,2000-04-25,No damage,2,BUSINESS,Massachusetts,Take-off run,,False,False,3 BIRDS STRUCK.,Large,Some Cloud,Wild turkey,N,0,0.0,0,No
201283,Airplane,LOS ANGELES INTL,< 1000 ft,SAAB-340,2 to 10,7,Aborted Take-off,2000-05-15,Caused damage,2,AMERICAN EAGLE AIRLINES,California,Take-off run,,False,False,"FLT 103. BIRD STRUCK NOSE CONE, BLOOD OVER WINDSHLD. OTHER BIRD WAS INGESTED. ENG RAN BOUT 50 DEGREES HOTTER. FLT TO SAN WAS CANCELLED. ENG WAS CHANGED FOR FOD CONTAMINATION. (ENG MANU REPTS NO FAN BLADE DMG)",Small,Some Cloud,Rock pigeon,N,801820,0.0,0,No
